Date_m,Date,Price,Open,High,Low,Vol.,Change %
43000,22-Sep-17,6426.92,6401.44,6429.54,6400.81,388.10M,0.07
43003,25-Sep-17,6370.59,6403.11,6408.06,6343.96,486.99M,-0.88
43004,26-Sep-17,6380.16,6391.85,6405.01,6364.57,439.70M,0.15
43005,27-Sep-17,6453.26,6414.37,6472.65,6405.35,470.98M,1.15
43006,28-Sep-17,6453.45,6437.96,6456.23,6427.66,428.05M,0
43007,29-Sep-17,6495.96,6461.28,6497.98,6454.86,492.43M,0.66
43010,02-Oct-17,6516.72,6506.08,6527.22,6484.14,448.11M,0.32
43011,03-Oct-17,6531.71,6523.74,6532.18,6509.71,438.92M,0.23
43012,04-Oct-17,6534.63,6521.96,6546.46,6513.12,434.61M,0.04
43013,05-Oct-17,6585.36,6552.87,6587.21,6547.65,422.21M,0.78
43014,06-Oct-17,6590.18,6566.95,6590.18,6566.84,410.59M,0.07
43017,09-Oct-17,6579.73,6597.37,6599.34,6572.44,359.14M,-0.16
43018,10-Oct-17,6587.25,6602.49,6608.3,6561.78,401.70M,0.11
43019,11-Oct-17,6603.55,6586.73,6604.21,6577.98,429.37M,0.25
43020,12-Oct-17,6591.51,6594.76,6613.5,6586.32,476.36M,-0.18
43021,13-Oct-17,6605.8,6613.21,6616.58,6602.2,417.54M,0.22
43024,16-Oct-17,6624.01,6622.55,6632.5,6607.03,373.94M,0.28
43025,17-Oct-17,6623.66,6621.42,6628.6,6613.21,375.08M,-0.01
43026,18-Oct-17,6624.22,6634.26,6635.52,6613.55,390.34M,0.01
43027,19-Oct-17,6605.07,6583.7,6605.29,6558.53,424.74M,-0.29
43028,20-Oct-17,6629.05,6633.37,6640.02,6622.92,457.36M,0.36
43031,23-Oct-17,6586.83,6641.57,6641.57,6581.15,417.64M,-0.64
43032,24-Oct-17,6598.43,6598.6,6611.9,6582.06,421.46M,0.18
43033,25-Oct-17,6563.89,6587.22,6600.65,6517.93,493.72M,-0.52
43034,26-Oct-17,6556.77,6567.59,6582.76,6550.03,496.86M,-0.11
43035,27-Oct-17,6701.26,6635.03,6708.13,6625.78,566.65M,2.2
43038,30-Oct-17,6698.96,6693.77,6727.39,6677.15,477.43M,-0.03
43039,31-Oct-17,6727.67,6713.71,6737.75,6705.79,509.98M,0.43
43040,01-Nov-17,6716.53,6758.64,6759.66,6691.48,491.99M,-0.17
43041,02-Nov-17,6714.94,6709.39,6719.97,6677.55,533.72M,-0.02
43042,03-Nov-17,6764.44,6737.09,6765.14,6712.93,521.39M,0.74
43045,06-Nov-17,6786.44,6763.3,6790.66,6763.17,524.23M,0.33
43046,07-Nov-17,6767.78,6785.44,6795.52,6750.35,531.06M,-0.27
43047,08-Nov-17,6789.12,6764.85,6791.65,6753.34,509.54M,0.32
43048,09-Nov-17,6750.05,6737.45,6758.93,6687.28,517.86M,-0.58
43049,10-Nov-17,6750.94,6736.39,6757.35,6727.35,464.51M,0.01
43052,13-Nov-17,6757.6,6727.39,6766.3,6723.43,462.89M,0.1
43053,14-Nov-17,6737.87,6733.87,6743.63,6709.27,462.99M,-0.29
43054,15-Nov-17,6706.21,6700.68,6725.32,6667.31,457.21M,-0.47
43055,16-Nov-17,6793.29,6742.34,6806.67,6742.34,476.98M,1.3
43056,17-Nov-17,6782.79,6794.45,6797.75,6777.43,493.18M,-0.15
43059,20-Nov-17,6790.71,6789.28,6795.83,6779.48,437.87M,0.12
43060,21-Nov-17,6862.48,6820.55,6862.66,6820.02,465.90M,1.06
43061,22-Nov-17,6867.36,6869.53,6874.52,6859.28,386.64M,0.07
43063,24-Nov-17,6889.16,6878.11,6890.02,6873.74,223.07M,0.32
43066,27-Nov-17,6878.52,6889.91,6897.43,6867.89,444.30M,-0.15
43067,28-Nov-17,6912.36,6893.72,6914.19,6866.21,477.32M,0.49
43068,29-Nov-17,6824.39,6907.28,6908.33,6793.95,586.18M,-1.27
43069,30-Nov-17,6873.97,6852.8,6888.65,6838.48,730.82M,0.73
43070,01-Dec-17,6847.59,6844.04,6872.17,6737.16,547.88M,-0.38
43073,04-Dec-17,6775.37,6897.14,6899.23,6770.69,600.98M,-1.05
43074,05-Dec-17,6762.21,6759.14,6836.45,6752.32,518.90M,-0.19
43075,06-Dec-17,6776.38,6742.07,6787.42,6734.13,454.87M,0.21
43076,07-Dec-17,6812.84,6785.74,6829.29,6778.2,475.25M,0.54
43077,08-Dec-17,6840.08,6859.94,6870.48,6831.61,429.26M,0.4
43080,11-Dec-17,6875.08,6847.64,6879.8,6844.88,448.36M,0.51
43081,12-Dec-17,6862.32,6872.72,6884.81,6856.3,456.45M,-0.19
43082,13-Dec-17,6875.8,6880.41,6897.62,6871.87,490.98M,0.2
43083,14-Dec-17,6856.53,6887.39,6901.13,6851.63,496.56M,-0.28
43084,15-Dec-17,6936.58,6871.55,6945.82,6871.45,1.42B,1.17
43087,18-Dec-17,6994.76,6980.4,7003.89,6975.55,539.24M,0.84
43088,19-Dec-17,6963.85,6991.25,6995.88,6951.49,514.90M,-0.44
43089,20-Dec-17,6960.96,6991.26,6991.26,6935.42,442.66M,-0.04
43090,21-Dec-17,6965.36,6972.88,6992.63,6961.2,436.63M,0.06
43091,22-Dec-17,6959.96,6958.02,6962.26,6944.44,372.94M,-0.08
43095,26-Dec-17,6936.25,6928.92,6942.14,6915.56,322.15M,-0.34
43096,27-Dec-17,6939.34,6941.45,6955.38,6931.34,316.13M,0.04
43097,28-Dec-17,6950.16,6953.38,6954.8,6936.75,293.06M,0.16
